SeqNum,MAANTH,MGEMLE,MGEMOM,AMOTSC,AWAPAR,APERSA,Resp,rand,RespHoldout,PWAPAR2,PAANHA2,PPERSA2,MSKB12,MAUT02,MHHUUR2,MAUT22,MINKGE2,MFALLE2,MRELGE2,MGODRK2,MOPLHO2,MFWEKI2,MSKB22,MGODPR2,MSKC2,MAUT12,MSKA2,mostyp_1,mostyp_2,mostyp_3,mostyp_4,mostyp_5,mostyp_6,mostyp_7,mostyp_8,mostyp_9,mostyp_10,mostyp_11,mostyp_12,mostyp_13,mostyp_14,mostyp_15,mostyp_16,mostyp_17,mostyp_18,mostyp_19,mostyp_20,mostyp_21,mostyp_22,mostyp_23,mostyp_24,mostyp_25,mostyp_26,mostyp_27,mostyp_28,mostyp_29,mostyp_30,mostyp_31,mostyp_32,mostyp_33,mostyp_34,mostyp_35,mostyp_37,mostyp_38,mostyp_39,mostyp_40,mostyp_41,MOSHOO_1,MOSHOO_2,MOSHOO_3,MOSHOO_4,MOSHOO_5,MOSHOO_6,MOSHOO_7,MOSHOO_8,MOSHOO_9,MOSHOO_10
1,2,5,0,0,0,0,0,0.0527895447,,750,0,0,30,56,5.5,0,30,5.5,5.5,43,94,17,5.5,0,0,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,4,2,2,0,0,0,0.2797073756,,75,0,0,17,0,0,17,43,5.5,0,0,82,43,30,5.5,17,56,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,3,3,0,0,0,0,0,0.1153383516,,75,0,0,30,5.5,30,17,43,17,30,56,43,30,17,17,5.5,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2,4,0,0,0,0,0,0.4631357274,,3000,0,0,43,0,100,5.5,30,5.5,56,0,56,43,43,5.5,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,1,5,0,0,0,0,0,0.0133497478,,0,0,0,17,17,17,69,30,0,0,17,0,56,0,0,56,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,2,2,0,0,0,0,0,0.4629972076,,0,0,0,30,5.5,0,17,56,0,0,30,30,30,0,17,43,43,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,3,7,0,0,0,0,0,0.3826673452,,0,0,0,17,56,17,17,30,0,0,56,100,56,30,0,17,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,3,5,1,1,0,0,0,0.1428411864,,150,0,0,30,30,5.5,0,82,0,0,30,100,17,30,30,17,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,3,4,2,0,0,0,0,0.0461592525,,0,0,0,43,0,30,5.5,82,5.5,43,30,100,30,43,5.5,0,100,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,3,4,1,0,0,0,0,0.0871996824,,0,0,0,17,17,5.5,17,30,5.5,5.5,43,43,43,17,5.5,30,30,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,2,6,0,1,0,0,0,0.1232462936,,75,0,0,5.5,30,5.5,17,30,5.5,17,30,0,30,43,0,43,43,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,3,7,0,1,0,0,0,0.3772664798,,350,0,0,17,56,17,17,30,0,0,56,100,56,30,0,17,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,3,6,2,0,0,0,0,0.3181509181,,0,0,0,17,0,17,0,43,0,17,5.5,30,69,56,0,0,43,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,3,5,0,1,0,0,0,0.198084408,,150,0,0,30,5.5,17,0,17,0,17,69,56,17,17,0,0,5.5,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,4,2,0,0,0,0,0,0.3222130953,,0,0,0,17,43,0,0,5.5,0,0,43,0,69,0,0,56,17,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,3,6,0,0,0,0,0,0.5924619094,,0,0,0,43,69,0,0,30,0,0,56,0,30,0,0,30,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2,7,0,1,0,0,0,0.2635869837,,350,0,0,30,0,69,0,69,0,30,5.5,56,30,43,5.5,5.5,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,2,7,0,0,0,0,0,0.040059404,,0,0,0,30,43,0,17,69,0,0,56,82,43,0,0,0,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,3,4,0,0,0,0,0,0.2722651406,,0,0,0,43,30,5.5,5.5,69,17,5.5,56,94,30,56,0,0,30,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,3,6,0,1,0,0,0,0.4837775428,,350,0,0,30,17,5.5,0,30,5.5,5.5,43,82,30,17,0,0,43,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,3,5,2,0,0,0,0,0.5948824289,,0,0,0,30,17,5.5,17,43,0,30,30,5.5,30,43,0,17,56,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,3,3,0,1,0,0,0,0.216919873,,150,0,0,30,17,17,0,30,0,17,17,82,43,17,0,43,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,2,9,0,0,0,0,0,0.6298480805,,0,0,0,43,30,0,0,5.5,0,0,0,0,0,17,0,100,0,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,3,7,0,1,0,0,0,0.1785437996,,150,0,0,17,69,0,5.5,30,5.5,0,30,5.5,5.5,5.5,0,56,17,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,2,3,0,1,0,0,0,0.1752970015,,150,0,0,17,30,17,43,17,17,17,30,43,30,0,5.5,56,56,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,2,4,0,0,0,0,0,0.6451913596,,0,0,0,17,5.5,0,5.5,30,17,5.5,43,30,0,30,17,43,5.5,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,3,4,0,0,0,0,0,0.4601046133,,150,0,0,43,43,30,5.5,30,5.5,17,17,56,17,17,5.5,43,17,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,3,5,0,0,0,0,0,0.0764091546,,0,0,0,17,17,17,17,43,17,5.5,30,30,43,5.5,0,43,30,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,3,4,0,0,0,0,0,0.0290483129,,150,0,0,43,30,5.5,5.5,69,17,5.5,56,94,30,56,0,0,30,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,3,2,1,1,0,0,0,0.0513339369,,350,0,0,30,69,0,30,30,30,0,56,69,30,0,0,30,5.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,3,7,0,1,0,0,1,0.2060328555,,350,0,0,30,0,5.5,0,69,0,0,43,94,30,17,17,17,43,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,3,7,1,1,0,0,0,0.0448142919,,750,0,0,30,17,5.5,5.5,69,0,0,56,100,30,43,17,0,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,3,5,1,1,0,0,1,0.2110714122,,150,0,0,30,30,5.5,5.5,43,5.5,5.5,43,43,17,17,0,43,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,2,4,0,1,0,0,0,0.0431945552,,150,0,0,43,0,5.5,0,43,0,5.5,43,5.5,5.5,5.5,0,56,17,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,3,4,1,0,0,0,0,0.1766302419,,0,0,0,30,5.5,0,0,56,5.5,5.5,43,43,56,30,17,17,69,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,3,4,0,1,0,0,0,0.1983997781,,75,0,0,30,69,0,0,30,0,0,43,56,5.5,5.5,0,30,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,4,2,0,0,0,0,0,0.1029499053,,0,0,0,17,43,0,0,30,17,0,30,0,69,0,0,69,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,3,4,1,0,0,0,0,0.4034095334,,150,0,0,17,17,5.5,17,17,17,5.5,30,0,43,5.5,5.5,30,30,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,4,7,2,1,0,0,0,0.2213364459,,75,0,0,17,43,30,0,69,0,30,30,94,17,17,0,43,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
