"SeqNum","MOSTYP","MSKB1","MAANTH","MOSHOO","MGODPR","MGEMLE","MFALLE","MSKA","MAUT2","MFWEKI","MRELGE","MAUT1","MAUT0","MHHUUR","MOPLHO","MSKB2","MSKC","MGODRK","MGEMOM","MINKGE","PPERSA","PAANHA","PWAPAR","AMOTSC","AWAPAR","APERSA","Resp"
1,14,3,2,1,0,5,1,7,0,2,1,2,5,1,8,1,0,4,0,3,0,0,5,0,0,0,0
2,18,2,2,1,1,4,1,6,2,4,0,5,0,0,7,3,2,0,2,4,0,0,2,2,0,0,0
3,18,2,2,1,0,4,2,3,2,4,0,7,0,0,2,0,4,5,0,4,0,0,2,1,0,0,0
4,31,3,3,6,2,3,2,5,2,3,3,3,1,3,4,2,1,5,0,4,0,0,2,0,0,0,0
5,21,4,2,3,1,4,1,7,1,4,5,0,0,9,5,4,0,0,0,3,0,0,6,0,0,0,0
6,4,2,1,8,0,5,0,0,6,5,0,4,2,2,0,0,5,2,0,3,0,0,0,0,0,0,0
7,20,3,2,2,2,2,0,7,2,3,0,4,1,0,3,0,4,3,0,5,0,0,0,0,0,0,0
8,14,2,3,1,0,7,0,7,2,5,0,2,5,2,9,3,2,5,0,3,0,0,0,0,0,0,0
10,33,3,3,6,3,5,0,7,0,2,0,3,3,1,9,3,2,3,1,7,0,0,3,1,0,0,0
11,32,4,3,6,1,4,1,7,1,3,4,9,0,3,9,4,0,3,2,7,0,0,0,0,0,0,0
13,14,2,3,1,1,4,1,6,2,4,1,3,2,1,4,2,3,4,1,3,0,0,0,0,0,0,0
14,22,3,3,3,0,5,0,7,1,4,2,2,2,4,4,1,3,2,1,4,0,0,0,0,0,0,0
15,4,1,2,8,0,6,1,1,2,3,2,4,3,1,0,4,4,3,0,3,0,0,2,1,0,0,0
16,14,2,3,1,0,7,0,7,2,5,0,2,5,2,9,3,2,5,0,3,0,0,4,1,0,0,0
17,19,2,3,2,0,6,0,7,0,6,2,4,0,2,3,5,0,1,2,4,0,0,0,0,0,0,0
18,3,3,3,8,0,5,0,7,0,2,2,1,1,2,5,2,0,6,0,2,0,0,3,1,0,0,0
19,35,4,2,6,2,4,0,7,0,3,5,3,0,5,5,4,2,2,0,6,0,0,2,1,0,0,0
20,12,2,4,10,0,2,0,9,0,6,0,2,4,0,0,0,5,4,0,1,0,0,0,0,0,0,0
21,14,4,3,1,0,6,0,9,0,3,0,0,6,0,0,0,3,5,0,3,0,0,0,0,0,0,0
22,14,3,3,1,0,4,2,7,0,2,0,4,0,0,9,0,3,6,0,3,0,0,4,1,0,0,0
23,35,3,2,6,1,7,0,7,0,3,3,2,0,6,5,4,1,1,0,6,0,0,4,1,0,0,0
24,15,3,2,1,0,7,0,7,2,4,0,2,4,0,7,0,0,5,0,6,0,0,0,0,0,0,0
25,35,4,3,6,0,4,2,8,1,3,1,3,3,1,8,5,0,5,0,6,0,0,0,0,0,0,0
26,14,3,3,1,0,6,1,6,0,3,1,4,2,1,7,2,0,4,0,3,0,0,4,1,0,0,0
27,18,3,3,1,0,5,0,7,2,3,3,5,2,1,1,4,2,3,2,4,0,0,0,0,0,0,0
28,21,3,3,3,0,3,0,9,0,4,2,0,2,2,7,2,4,2,0,3,0,0,3,1,0,0,0
29,12,4,2,10,0,9,0,5,0,0,0,0,3,0,0,2,9,0,0,1,0,0,0,0,0,0,0
30,14,2,3,1,0,7,1,5,1,1,0,2,6,0,1,1,5,3,0,3,0,0,3,1,0,0,0
31,5,2,2,8,1,3,2,2,4,3,2,5,3,2,4,0,5,3,0,2,0,0,3,1,0,0,0
32,4,2,2,8,2,4,2,7,1,0,1,1,1,0,3,3,4,4,0,3,0,0,0,0,0,0,0
33,14,4,3,1,1,4,1,8,1,2,2,2,4,3,5,2,4,2,0,3,0,0,3,0,0,0,0
34,19,2,3,2,0,5,2,4,2,4,1,3,2,2,3,1,4,3,0,4,0,0,0,0,0,0,0
35,35,4,3,6,0,4,2,8,1,3,1,3,3,1,8,5,0,5,0,6,0,0,3,0,0,0,0
36,30,3,2,5,2,4,1,6,1,4,2,3,1,3,3,3,3,4,0,7,0,2,3,1,0,0,0
37,29,3,2,5,0,7,2,7,2,6,2,7,0,2,9,2,0,6,0,6,0,0,4,1,0,0,0
39,20,3,2,2,0,6,0,6,0,0,0,2,5,0,2,3,7,0,0,5,0,0,6,0,0,0,0
40,14,3,3,1,0,2,3,6,3,3,0,1,6,0,6,0,3,5,1,3,0,0,4,1,0,0,0
41,5,3,3,8,1,5,1,6,1,0,0,2,3,0,0,2,4,5,0,2,0,0,2,1,0,0,0
42,33,3,3,6,2,7,0,9,0,3,0,4,0,1,8,2,2,4,0,6,0,0,4,1,0,0,1
43,30,3,3,5,1,4,1,6,1,3,2,3,2,3,5,5,2,2,1,7,0,0,6,0,0,0,0
